supplier_id,importance,fabric_category,date,max_line_limit
3001940,合格,梭织,2022-10-10,7.0
3001940,合格,梭织,2022-10-11,7.0
3001940,合格,梭织,2022-10-12,7.0
3001940,合格,梭织,2022-10-13,7.0
3001940,合格,梭织,2022-10-14,7.0
3001940,合格,梭织,2022-10-15,7.0
3001940,合格,梭织,2022-10-17,7.0
3001940,合格,梭织,2022-10-18,7.0
3001940,合格,梭织,2022-10-19,7.0
3001940,合格,梭织,2022-10-20,7.0
3001940,合格,梭织,2022-10-21,7.0
3001940,合格,梭织,2022-10-22,7.0
3001940,合格,梭织,2022-10-24,7.0
3001940,合格,梭织,2022-10-25,7.0
3001940,合格,梭织,2022-10-26,7.0
3001940,合格,梭织,2022-10-27,7.0
3001940,合格,梭织,2022-10-28,7.0
3001940,合格,梭织,2022-10-29,7.0
3001940,合格,梭织,2022-10-31,7.0
3001940,合格,梭织,2022-11-01,5.0
3001940,合格,梭织,2022-11-02,5.0
3001940,合格,梭织,2022-11-03,5.0
3001940,合格,梭织,2022-11-04,5.0
3001940,合格,梭织,2022-11-05,5.0
3001940,合格,梭织,2022-11-07,5.0
3001940,合格,梭织,2022-11-08,5.0
3001940,合格,梭织,2022-11-09,5.0
3001940,合格,梭织,2022-11-10,5.0
3001940,合格,梭织,2022-11-11,5.0
3001940,合格,梭织,2022-11-12,5.0
3001940,合格,梭织,2022-11-14,5.0
3001940,合格,梭织,2022-11-15,5.0
3001940,合格,梭织,2022-11-16,5.0
3001940,合格,梭织,2022-11-17,5.0
3001940,合格,梭织,2022-11-18,5.0
3001940,合格,梭织,2022-11-19,5.0
3001940,合格,梭织,2022-11-21,5.0
3001940,合格,梭织,2022-11-22,5.0
3001940,合格,梭织,2022-11-23,5.0
3001940,合格,梭织,2022-11-24,5.0
3001940,合格,梭织,2022-11-25,5.0
3001940,合格,梭织,2022-11-26,5.0
3001940,合格,梭织,2022-11-28,5.0
3001940,合格,梭织,2022-11-29,5.0
3001940,合格,梭织,2022-11-30,5.0
3001940,合格,梭织,2022-12-01,45800.0
3001940,合格,梭织,2022-12-02,45800.0
3001940,合格,梭织,2022-12-03,45800.0
3001940,合格,梭织,2022-12-05,45800.0
3001940,合格,梭织,2022-12-06,45800.0
3001940,合格,梭织,2022-12-07,45800.0
3001940,合格,梭织,2022-12-08,45800.0
3001940,合格,梭织,2022-12-09,45800.0
3001940,合格,梭织,2022-12-10,45800.0
3001940,合格,梭织,2022-12-12,45800.0
3001940,合格,梭织,2022-12-13,45800.0
3001940,合格,梭织,2022-12-14,45800.0
3001940,合格,梭织,2022-12-15,45800.0
3001940,合格,梭织,2022-12-16,45800.0
3001940,合格,梭织,2022-12-17,45800.0
3001940,合格,梭织,2022-12-19,45800.0
3001940,合格,梭织,2022-12-20,45800.0
3001940,合格,梭织,2022-12-21,45800.0
3001940,合格,梭织,2022-12-22,45800.0
3001940,合格,梭织,2022-12-23,45800.0
3001940,合格,梭织,2022-12-24,45800.0
3001940,合格,梭织,2022-12-26,45800.0
3001940,合格,梭织,2022-12-27,45800.0
3001940,合格,梭织,2022-12-28,45800.0
3001940,合格,梭织,2022-12-29,45800.0
3001940,合格,梭织,2022-12-30,45800.0
3001940,合格,梭织,2022-12-31,45800.0
3001940,合格,梭织,2023-01-02,25.0
3001940,合格,梭织,2023-01-03,25.0
3001940,合格,梭织,2023-01-04,25.0
3001940,合格,梭织,2023-01-05,25.0
3001940,合格,梭织,2023-01-06,25.0
3001940,合格,梭织,2023-02-06,7.0
3001940,合格,梭织,2023-02-07,7.0
3001940,合格,梭织,2023-02-08,7.0
3001940,合格,梭织,2023-02-09,7.0
3001940,合格,梭织,2023-02-10,7.0
3001940,合格,梭织,2023-02-11,7.0
3001940,合格,梭织,2023-02-13,7.0
3001940,合格,梭织,2023-02-14,7.0
3001940,合格,梭织,2023-02-15,7.0
3001940,合格,梭织,2023-02-16,7.0
3001940,合格,梭织,2023-02-17,7.0
3001940,合格,梭织,2023-02-18,7.0
3001940,合格,梭织,2023-02-20,7.0
3001940,合格,梭织,2023-02-21,7.0
3001940,合格,梭织,2023-02-22,7.0
3001940,合格,梭织,2023-02-23,7.0
3001940,合格,梭织,2023-02-24,7.0
3001940,合格,梭织,2023-02-25,7.0
3001940,合格,梭织,2023-02-27,7.0
3001940,合格,梭织,2023-02-28,7.0
3001940,合格,梭织,2023-03-01,5.0
3001940,合格,梭织,2023-03-02,5.0
3001940,合格,梭织,2023-03-03,5.0
3001940,合格,梭织,2023-03-04,5.0
3001940,合格,梭织,2023-03-06,5.0
3001940,合格,梭织,2023-03-07,5.0
3001940,合格,梭织,2023-03-08,5.0
3001940,合格,梭织,2023-03-09,5.0
3001940,合格,梭织,2023-03-10,5.0
3001940,合格,梭织,2023-03-11,5.0
3001940,合格,梭织,2023-03-13,5.0
3001940,合格,梭织,2023-03-14,5.0
3001940,合格,梭织,2023-03-15,5.0
3001940,合格,梭织,2023-03-16,5.0
3001940,合格,梭织,2023-03-17,5.0
3001940,合格,梭织,2023-03-18,5.0
3001940,合格,梭织,2023-03-20,5.0
3001940,合格,梭织,2023-03-21,5.0
3001940,合格,梭织,2023-03-22,5.0
3001940,合格,梭织,2023-03-23,5.0
3001940,合格,梭织,2023-03-24,5.0
3001940,合格,梭织,2023-03-25,5.0
3001940,合格,梭织,2023-03-27,5.0
3001940,合格,梭织,2023-03-28,5.0
3001940,合格,梭织,2023-03-29,5.0
3001940,合格,梭织,2023-03-30,5.0
3001940,合格,梭织,2023-03-31,5.0
3001940,合格,梭织,2023-04-01,5.0
3001940,合格,梭织,2023-04-03,5.0
3001940,合格,梭织,2023-04-04,5.0
3001940,合格,梭织,2023-04-05,5.0
3001940,合格,梭织,2023-04-06,5.0
3001940,合格,梭织,2023-04-07,5.0
3001940,合格,梭织,2023-04-08,5.0
3001940,合格,梭织,2023-04-10,5.0
3001940,合格,梭织,2023-04-11,5.0
3001940,合格,梭织,2023-04-12,5.0
3001940,合格,梭织,2023-04-13,5.0
3001940,合格,梭织,2023-04-14,5.0
3001940,合格,梭织,2023-04-15,5.0
3001940,合格,梭织,2023-04-17,5.0
3001940,合格,梭织,2023-04-18,5.0
3001940,合格,梭织,2023-04-19,5.0
3001940,合格,梭织,2023-04-20,5.0
3001940,合格,梭织,2023-04-21,5.0
3001940,合格,梭织,2023-04-22,5.0
3001940,合格,梭织,2023-04-24,5.0
3001940,合格,梭织,2023-04-25,5.0
3001940,合格,梭织,2023-04-26,5.0
3001940,合格,梭织,2023-04-27,5.0
3001940,合格,梭织,2023-04-28,5.0
3001940,合格,梭织,2023-04-29,5.0
3001940,合格,梭织,2023-05-01,5.0
3001940,合格,梭织,2023-05-02,5.0
3001940,合格,梭织,2023-05-03,5.0
3001940,合格,梭织,2023-05-04,5.0
3001940,合格,梭织,2023-05-05,5.0
3001940,合格,梭织,2023-05-06,5.0
3001940,合格,梭织,2023-05-08,5.0
3001940,合格,梭织,2023-05-09,5.0
3001940,合格,梭织,2023-05-10,5.0
3001940,合格,梭织,2023-05-11,5.0
3001940,合格,梭织,2023-05-12,5.0
3001940,合格,梭织,2023-05-13,5.0
3001940,合格,梭织,2023-05-15,5.0
3001940,合格,梭织,2023-05-16,5.0
3001940,合格,梭织,2023-05-17,5.0
3001940,合格,梭织,2023-05-18,5.0
3001940,合格,梭织,2023-05-19,5.0
3001940,合格,梭织,2023-05-20,5.0
3001940,合格,梭织,2023-05-22,5.0
3001940,合格,梭织,2023-05-23,5.0
3001940,合格,梭织,2023-05-24,5.0
3001940,合格,梭织,2023-05-25,5.0
3001940,合格,梭织,2023-05-26,5.0
3001940,合格,梭织,2023-05-27,5.0
3001940,合格,梭织,2023-05-29,5.0
3001940,合格,梭织,2023-05-30,5.0
3001940,合格,梭织,2023-05-31,5.0
3001940,合格,梭织,2023-06-01,5.0
3001940,合格,梭织,2023-06-02,5.0
3001940,合格,梭织,2023-06-03,5.0
3001940,合格,梭织,2023-06-05,5.0
3001940,合格,梭织,2023-06-06,5.0
3001940,合格,梭织,2023-06-07,5.0
3001940,合格,梭织,2023-06-08,5.0
3001940,合格,梭织,2023-06-09,5.0
3001940,合格,梭织,2023-06-10,5.0
3001940,合格,梭织,2023-06-12,5.0
3001940,合格,梭织,2023-06-13,5.0
3001940,合格,梭织,2023-06-14,5.0
3001940,合格,梭织,2023-06-15,5.0
3001940,合格,梭织,2023-06-16,5.0
3001940,合格,梭织,2023-06-17,5.0
3001940,合格,梭织,2023-06-19,5.0
3001940,合格,梭织,2023-06-20,5.0
3001940,合格,梭织,2023-06-21,5.0
3001940,合格,梭织,2023-06-22,5.0
3001940,合格,梭织,2023-06-23,5.0
3001940,合格,梭织,2023-06-24,5.0
3001940,合格,梭织,2023-06-26,5.0
3001940,合格,梭织,2023-06-27,5.0
3001940,合格,梭织,2023-06-28,5.0
3001940,合格,梭织,2023-06-29,5.0
3001940,合格,梭织,2023-06-30,5.0
3001940,合格,梭织,2023-09-01,3.0
3001940,合格,梭织,2023-09-02,3.0
3001940,合格,梭织,2023-09-04,3.0
3001940,合格,梭织,2023-09-05,3.0
3001940,合格,梭织,2023-09-06,3.0
3001940,合格,梭织,2023-09-07,3.0
3001940,合格,梭织,2023-09-08,3.0
3001940,合格,梭织,2023-09-09,3.0
3001940,合格,梭织,2023-09-11,3.0
3001940,合格,梭织,2023-09-12,3.0
3001940,合格,梭织,2023-09-13,3.0
3001940,合格,梭织,2023-09-14,3.0
3001940,合格,梭织,2023-09-15,3.0
3001940,合格,梭织,2023-09-16,3.0
3001940,合格,梭织,2023-09-18,3.0
3001940,合格,梭织,2023-09-19,3.0
3001940,合格,梭织,2023-09-20,3.0
3001940,合格,梭织,2023-09-21,3.0
3001940,合格,梭织,2023-09-22,3.0
3001940,合格,梭织,2023-09-23,3.0
3001940,合格,梭织,2023-09-25,3.0
3001940,合格,梭织,2023-09-26,3.0
3001940,合格,梭织,2023-09-27,3.0
3001940,合格,梭织,2023-09-28,3.0
3001940,合格,梭织,2023-09-29,3.0
3001940,合格,梭织,2023-09-30,3.0
3001940,合格,梭织,2023-10-02,3.0
3001940,合格,梭织,2023-10-03,3.0
3001940,合格,梭织,2023-10-04,3.0
3001940,合格,梭织,2023-10-05,3.0
3001940,合格,梭织,2023-10-06,3.0
3001940,合格,梭织,2023-10-07,3.0
3001940,合格,梭织,2023-10-09,3.0
3001940,合格,梭织,2023-10-10,3.0
3001940,合格,梭织,2023-10-11,3.0
3001940,合格,梭织,2023-10-12,3.0
3001940,合格,梭织,2023-10-13,3.0
3001940,合格,梭织,2023-10-14,3.0
3001940,合格,梭织,2023-10-16,3.0
3001940,合格,梭织,2023-10-17,3.0
3001940,合格,梭织,2023-10-18,3.0
3001940,合格,梭织,2023-10-19,3.0
3001940,合格,梭织,2023-10-20,3.0
3001940,合格,梭织,2023-10-21,3.0
3001940,合格,梭织,2023-10-23,3.0
3001940,合格,梭织,2023-10-24,3.0
3001940,合格,梭织,2023-10-25,3.0
3001940,合格,梭织,2023-10-26,3.0
3001940,合格,梭织,2023-10-27,3.0
3001940,合格,梭织,2023-10-28,3.0
3001940,合格,梭织,2023-10-30,3.0
3001940,合格,梭织,2023-10-31,3.0
3000566,核心,梭织,2022-08-01,9.0
3000566,核心,梭织,2022-08-02,9.0
3000566,核心,梭织,2022-08-03,9.0
3000566,核心,梭织,2022-08-04,9.0
3000566,核心,梭织,2022-08-05,9.0
3000566,核心,梭织,2022-08-06,9.0
3000566,核心,梭织,2022-08-08,9.0
3000566,核心,梭织,2022-08-09,9.0
3000566,核心,梭织,2022-08-10,9.0
3000566,核心,梭织,2022-08-11,9.0
3000566,核心,梭织,2022-08-12,9.0
3000566,核心,梭织,2022-08-13,9.0
3000566,核心,梭织,2022-08-15,9.0
3000566,核心,梭织,2022-08-16,9.0
3000566,核心,梭织,2022-08-17,9.0
3000566,核心,梭织,2022-08-18,9.0
3000566,核心,梭织,2022-08-19,9.0
3000566,核心,梭织,2022-08-20,9.0
3000566,核心,梭织,2022-08-22,9.0
3000566,核心,梭织,2022-08-23,9.0
3000566,核心,梭织,2022-08-24,9.0
3000566,核心,梭织,2022-08-25,9.0
3000566,核心,梭织,2022-08-26,9.0
3000566,核心,梭织,2022-08-27,9.0
3000566,核心,梭织,2022-08-29,9.0
3000566,核心,梭织,2022-08-30,9.0
3000566,核心,梭织,2022-08-31,9.0
3000566,核心,梭织,2022-09-01,9.0
3000566,核心,梭织,2022-09-02,9.0
3000566,核心,梭织,2022-09-03,9.0
3000566,核心,梭织,2022-09-05,9.0
3000566,核心,梭织,2022-09-06,9.0
3000566,核心,梭织,2022-09-07,9.0
3000566,核心,梭织,2022-09-08,9.0
3000566,核心,梭织,2022-09-09,9.0
3000566,核心,梭织,2022-09-10,9.0
3000566,核心,梭织,2022-09-12,9.0
3000566,核心,梭织,2022-09-13,9.0
3000566,核心,梭织,2022-09-14,9.0
3000566,核心,梭织,2022-09-15,9.0
3000566,核心,梭织,2022-09-16,9.0
3000566,核心,梭织,2022-09-17,9.0
3000566,核心,梭织,2022-09-19,9.0
3000566,核心,梭织,2022-09-20,9.0
3000566,核心,梭织,2022-09-21,9.0
3000566,核心,梭织,2022-09-22,9.0
3000566,核心,梭织,2022-09-23,9.0
3000566,核心,梭织,2022-09-24,9.0
3000566,核心,梭织,2022-09-26,9.0
3000566,核心,梭织,2022-09-27,9.0
3000566,核心,梭织,2022-09-28,9.0
3000566,核心,梭织,2022-09-29,9.0
3000566,核心,梭织,2022-09-30,9.0
3000566,核心,梭织,2022-10-08,11.0
3000566,核心,梭织,2022-10-10,11.0
3000566,核心,梭织,2022-10-11,11.0
3000566,核心,梭织,2022-10-12,11.0
3000566,核心,梭织,2022-10-13,11.0
3000566,核心,梭织,2022-10-14,11.0
3000566,核心,梭织,2022-10-15,11.0
3000566,核心,梭织,2022-10-17,11.0
3000566,核心,梭织,2022-10-18,11.0
3000566,核心,梭织,2022-10-19,11.0
3000566,核心,梭织,2022-10-20,11.0
3000566,核心,梭织,2022-10-21,11.0
3000566,核心,梭织,2022-10-22,11.0
3000566,核心,梭织,2022-10-24,11.0
3000566,核心,梭织,2022-10-25,11.0
3000566,核心,梭织,2022-10-26,11.0
3000566,核心,梭织,2022-10-27,11.0
3000566,核心,梭织,2022-10-28,11.0
3000566,核心,梭织,2022-10-29,11.0
3000566,核心,梭织,2022-10-31,11.0
3000566,核心,梭织,2022-11-01,9.0
3000566,核心,梭织,2022-11-02,9.0
3000566,核心,梭织,2022-11-03,9.0
3000566,核心,梭织,2022-11-04,9.0
3000566,核心,梭织,2022-11-05,9.0
3000566,核心,梭织,2022-11-07,9.0
3000566,核心,梭织,2022-11-08,9.0
3000566,核心,梭织,2022-11-09,9.0
3000566,核心,梭织,2022-11-10,9.0
3000566,核心,梭织,2022-11-11,9.0
3000566,核心,梭织,2022-11-12,9.0
3000566,核心,梭织,2022-11-14,9.0
3000566,核心,梭织,2022-11-15,9.0
3000566,核心,梭织,2022-11-16,9.0
3000566,核心,梭织,2022-11-17,9.0
3000566,核心,梭织,2022-11-18,9.0
3000566,核心,梭织,2022-11-19,9.0
3000566,核心,梭织,2022-11-21,9.0
3000566,核心,梭织,2022-11-22,9.0
3000566,核心,梭织,2022-11-23,9.0
3000566,核心,梭织,2022-11-24,9.0
3000566,核心,梭织,2022-11-25,9.0
3000566,核心,梭织,2022-11-26,9.0
3000566,核心,梭织,2022-11-28,9.0
3000566,核心,梭织,2022-11-29,9.0
3000566,核心,梭织,2022-11-30,9.0
3000566,核心,梭织,2022-12-01,79034.0
3000566,核心,梭织,2022-12-02,79034.0
3000566,核心,梭织,2022-12-03,79034.0
3000566,核心,梭织,2022-12-05,79034.0
3000566,核心,梭织,2022-12-06,79034.0
3000566,核心,梭织,2022-12-07,79034.0
3000566,核心,梭织,2022-12-08,79034.0
3000566,核心,梭织,2022-12-09,79034.0
3000566,核心,梭织,2022-12-10,79034.0
3000566,核心,梭织,2022-12-12,79034.0
3000566,核心,梭织,2022-12-13,79034.0
3000566,核心,梭织,2022-12-14,79034.0
3000566,核心,梭织,2022-12-15,79034.0
3000566,核心,梭织,2022-12-16,79034.0
3000566,核心,梭织,2022-12-17,79034.0
3000566,核心,梭织,2022-12-19,79034.0
3000566,核心,梭织,2022-12-20,79034.0
3000566,核心,梭织,2022-12-21,79034.0
3000566,核心,梭织,2022-12-22,79034.0
3000566,核心,梭织,2022-12-23,79034.0
3000566,核心,梭织,2022-12-24,79034.0
3000566,核心,梭织,2022-12-26,79034.0
3000566,核心,梭织,2022-12-27,79034.0
3000566,核心,梭织,2022-12-28,79034.0
3000566,核心,梭织,2022-12-29,79034.0
3000566,核心,梭织,2022-12-30,79034.0
3000566,核心,梭织,2022-12-31,79034.0
3000566,核心,梭织,2023-01-02,32.0
3000566,核心,梭织,2023-01-03,32.0
3000566,核心,梭织,2023-01-04,32.0
3000566,核心,梭织,2023-01-05,32.0
3000566,核心,梭织,2023-01-06,32.0
3000566,核心,梭织,2023-02-06,10.0
3000566,核心,梭织,2023-02-07,10.0
3000566,核心,梭织,2023-02-08,10.0
3000566,核心,梭织,2023-02-09,10.0
3000566,核心,梭织,2023-02-10,10.0
3000566,核心,梭织,2023-02-11,10.0
3000566,核心,梭织,2023-02-13,10.0
3000566,核心,梭织,2023-02-14,10.0
3000566,核心,梭织,2023-02-15,10.0
3000566,核心,梭织,2023-02-16,10.0
3000566,核心,梭织,2023-02-17,10.0
3000566,核心,梭织,2023-02-18,10.0
3000566,核心,梭织,2023-02-20,10.0
3000566,核心,梭织,2023-02-21,10.0
3000566,核心,梭织,2023-02-22,10.0
3000566,核心,梭织,2023-02-23,10.0
3000566,核心,梭织,2023-02-24,10.0
3000566,核心,梭织,2023-02-25,10.0
3000566,核心,梭织,2023-02-27,10.0
3000566,核心,梭织,2023-02-28,10.0
3000566,核心,梭织,2023-03-01,8.0
3000566,核心,梭织,2023-03-02,8.0
3000566,核心,梭织,2023-03-03,8.0
3000566,核心,梭织,2023-03-04,8.0
3000566,核心,梭织,2023-03-06,8.0
3000566,核心,梭织,2023-03-07,8.0
3000566,核心,梭织,2023-03-08,8.0
3000566,核心,梭织,2023-03-09,8.0
3000566,核心,梭织,2023-03-10,8.0
3000566,核心,梭织,2023-03-11,8.0
3000566,核心,梭织,2023-03-13,8.0
3000566,核心,梭织,2023-03-14,8.0
3000566,核心,梭织,2023-03-15,8.0
3000566,核心,梭织,2023-03-16,8.0
3000566,核心,梭织,2023-03-17,8.0
3000566,核心,梭织,2023-03-18,8.0
3000566,核心,梭织,2023-03-20,8.0
3000566,核心,梭织,2023-03-21,8.0
3000566,核心,梭织,2023-03-22,8.0
3000566,核心,梭织,2023-03-23,8.0
3000566,核心,梭织,2023-03-24,8.0
3000566,核心,梭织,2023-03-25,8.0
3000566,核心,梭织,2023-03-27,8.0
3000566,核心,梭织,2023-03-28,8.0
3000566,核心,梭织,2023-03-29,8.0
3000566,核心,梭织,2023-03-30,8.0
3000566,核心,梭织,2023-03-31,8.0
3000566,核心,梭织,2023-04-01,8.0
3000566,核心,梭织,2023-04-03,8.0
3000566,核心,梭织,2023-04-04,8.0
3000566,核心,梭织,2023-04-05,8.0
3000566,核心,梭织,2023-04-06,8.0
3000566,核心,梭织,2023-04-07,8.0
3000566,核心,梭织,2023-04-08,8.0
3000566,核心,梭织,2023-04-10,8.0
3000566,核心,梭织,2023-04-11,8.0
3000566,核心,梭织,2023-04-12,8.0
3000566,核心,梭织,2023-04-13,8.0
3000566,核心,梭织,2023-04-14,8.0
3000566,核心,梭织,2023-04-15,8.0
3000566,核心,梭织,2023-04-17,8.0
3000566,核心,梭织,2023-04-18,8.0
3000566,核心,梭织,2023-04-19,8.0
3000566,核心,梭织,2023-04-20,8.0
3000566,核心,梭织,2023-04-21,8.0
3000566,核心,梭织,2023-04-22,8.0
3000566,核心,梭织,2023-04-24,8.0
3000566,核心,梭织,2023-04-25,8.0
3000566,核心,梭织,2023-04-26,8.0
3000566,核心,梭织,2023-04-27,8.0
3000566,核心,梭织,2023-04-28,8.0
3000566,核心,梭织,2023-04-29,8.0
3000566,核心,梭织,2023-05-01,8.0
3000566,核心,梭织,2023-05-02,8.0
3000566,核心,梭织,2023-05-03,8.0
3000566,核心,梭织,2023-05-04,8.0
3000566,核心,梭织,2023-05-05,8.0
3000566,核心,梭织,2023-05-06,8.0
3000566,核心,梭织,2023-05-08,8.0
3000566,核心,梭织,2023-05-09,8.0
3000566,核心,梭织,2023-05-10,8.0
3000566,核心,梭织,2023-05-11,8.0
3000566,核心,梭织,2023-05-12,8.0
3000566,核心,梭织,2023-05-13,8.0
3000566,核心,梭织,2023-05-15,8.0
3000566,核心,梭织,2023-05-16,8.0
3000566,核心,梭织,2023-05-17,8.0
3000566,核心,梭织,2023-05-18,8.0
3000566,核心,梭织,2023-05-19,8.0
3000566,核心,梭织,2023-05-20,8.0
3000566,核心,梭织,2023-05-22,8.0
3000566,核心,梭织,2023-05-23,8.0
3000566,核心,梭织,2023-05-24,8.0
3000566,核心,梭织,2023-05-25,8.0
3000566,核心,梭织,2023-05-26,8.0
3000566,核心,梭织,2023-05-27,8.0
3000566,核心,梭织,2023-05-29,8.0
3000566,核心,梭织,2023-05-30,8.0
3000566,核心,梭织,2023-05-31,8.0
3000566,核心,梭织,2023-06-01,8.0
3000566,核心,梭织,2023-06-02,8.0
3000566,核心,梭织,2023-06-03,8.0
3000566,核心,梭织,2023-06-05,8.0
3000566,核心,梭织,2023-06-06,8.0
3000566,核心,梭织,2023-06-07,8.0
3000566,核心,梭织,2023-06-08,8.0
3000566,核心,梭织,2023-06-09,8.0
3000566,核心,梭织,2023-06-10,8.0
3000566,核心,梭织,2023-06-12,8.0
3000566,核心,梭织,2023-06-13,8.0
3000566,核心,梭织,2023-06-14,8.0
3000566,核心,梭织,2023-06-15,8.0
3000566,核心,梭织,2023-06-16,8.0
3000566,核心,梭织,2023-06-17,8.0
3000566,核心,梭织,2023-06-19,8.0
3000566,核心,梭织,2023-06-20,8.0
3000566,核心,梭织,2023-06-21,8.0
3000566,核心,梭织,2023-06-22,8.0
3000566,核心,梭织,2023-06-23,8.0
3000566,核心,梭织,2023-06-24,8.0
3000566,核心,梭织,2023-06-26,8.0
3000566,核心,梭织,2023-06-27,8.0
3000566,核心,梭织,2023-06-28,8.0
3000566,核心,梭织,2023-06-29,8.0
3000566,核心,梭织,2023-06-30,8.0
3000566,核心,梭织,2023-07-01,8.0
3000566,核心,梭织,2023-07-03,8.0
3000566,核心,梭织,2023-07-04,8.0
3000566,核心,梭织,2023-07-05,8.0
3000566,核心,梭织,2023-07-06,8.0
3000566,核心,梭织,2023-07-07,8.0
3000566,核心,梭织,2023-07-08,8.0
3000566,核心,梭织,2023-07-10,8.0
3000566,核心,梭织,2023-07-11,8.0
3000566,核心,梭织,2023-07-12,8.0
3000566,核心,梭织,2023-07-13,8.0
3000566,核心,梭织,2023-07-14,8.0
3000566,核心,梭织,2023-07-15,8.0
3000566,核心,梭织,2023-07-17,8.0
3000566,核心,梭织,2023-07-18,8.0
3000566,核心,梭织,2023-07-19,8.0
3000566,核心,梭织,2023-07-20,8.0
3000566,核心,梭织,2023-07-21,8.0
3000566,核心,梭织,2023-07-22,8.0
3000566,核心,梭织,2023-07-24,8.0
3000566,核心,梭织,2023-07-25,8.0
3000566,核心,梭织,2023-07-26,8.0
3000566,核心,梭织,2023-07-27,8.0
3000566,核心,梭织,2023-07-28,8.0
3000566,核心,梭织,2023-07-29,8.0
3000566,核心,梭织,2023-07-31,8.0
3000566,核心,梭织,2023-08-01,8.0
3000566,核心,梭织,2023-08-02,8.0
3000566,核心,梭织,2023-08-03,8.0
3000566,核心,梭织,2023-08-04,8.0
3000566,核心,梭织,2023-08-05,8.0
3000566,核心,梭织,2023-08-07,8.0
3000566,核心,梭织,2023-08-08,8.0
3000566,核心,梭织,2023-08-09,8.0
3000566,核心,梭织,2023-08-10,8.0
3000566,核心,梭织,2023-08-11,8.0
3000566,核心,梭织,2023-08-12,8.0
3000566,核心,梭织,2023-08-14,8.0
3000566,核心,梭织,2023-08-15,8.0
3000566,核心,梭织,2023-08-16,8.0
3000566,核心,梭织,2023-08-17,8.0
3000566,核心,梭织,2023-08-18,8.0
3000566,核心,梭织,2023-08-19,8.0
3000566,核心,梭织,2023-08-21,8.0
3000566,核心,梭织,2023-08-22,8.0
3000566,核心,梭织,2023-08-23,8.0
3000566,核心,梭织,2023-08-24,8.0
3000566,核心,梭织,2023-08-25,8.0
3000566,核心,梭织,2023-08-26,8.0
3000566,核心,梭织,2023-08-28,8.0
3000566,核心,梭织,2023-08-29,8.0
3000566,核心,梭织,2023-08-30,8.0
3000566,核心,梭织,2023-08-31,8.0
3000566,核心,梭织,2023-09-01,12.0
3000566,核心,梭织,2023-09-02,12.0
3000566,核心,梭织,2023-09-04,12.0
3000566,核心,梭织,2023-09-05,12.0
3000566,核心,梭织,2023-09-06,12.0
3000566,核心,梭织,2023-09-07,12.0
3000566,核心,梭织,2023-09-08,12.0
3000566,核心,梭织,2023-09-09,12.0
3000566,核心,梭织,2023-09-11,12.0
3000566,核心,梭织,2023-09-12,12.0
3000566,核心,梭织,2023-09-13,12.0
3000566,核心,梭织,2023-09-14,12.0
3000566,核心,梭织,2023-09-15,12.0
3000566,核心,梭织,2023-09-16,12.0
3000566,核心,梭织,2023-09-18,12.0
3000566,核心,梭织,2023-09-19,12.0
3000566,核心,梭织,2023-09-20,12.0
3000566,核心,梭织,2023-09-21,12.0
3000566,核心,梭织,2023-09-22,12.0
3000566,核心,梭织,2023-09-23,12.0
3000566,核心,梭织,2023-09-25,12.0
3000566,核心,梭织,2023-09-26,12.0
3000566,核心,梭织,2023-09-27,12.0
3000566,核心,梭织,2023-09-28,12.0
3000566,核心,梭织,2023-09-29,12.0
3000566,核心,梭织,2023-09-30,12.0
3000566,核心,梭织,2023-10-02,11.0
3000566,核心,梭织,2023-10-03,11.0
3000566,核心,梭织,2023-10-04,11.0
3000566,核心,梭织,2023-10-05,11.0
3000566,核心,梭织,2023-10-06,11.0
3000566,核心,梭织,2023-10-07,11.0
3000566,核心,梭织,2023-10-09,11.0
3000566,核心,梭织,2023-10-10,11.0
3000566,核心,梭织,2023-10-11,11.0
3000566,核心,梭织,2023-10-12,11.0
3000566,核心,梭织,2023-10-13,11.0
3000566,核心,梭织,2023-10-14,11.0
3000566,核心,梭织,2023-10-16,11.0
3000566,核心,梭织,2023-10-17,11.0
3000566,核心,梭织,2023-10-18,11.0
3000566,核心,梭织,2023-10-19,11.0
3000566,核心,梭织,2023-10-20,11.0
3000566,核心,梭织,2023-10-21,11.0
3000566,核心,梭织,2023-10-23,11.0
3000566,核心,梭织,2023-10-24,11.0
3000566,核心,梭织,2023-10-25,11.0
3000566,核心,梭织,2023-10-26,11.0
3000566,核心,梭织,2023-10-27,11.0
3000566,核心,梭织,2023-10-28,11.0
3000566,核心,梭织,2023-10-30,11.0
3000566,核心,梭织,2023-10-31,11.0
3000566,核心,梭织,2023-11-01,8.0
3000566,核心,梭织,2023-11-02,8.0
3000566,核心,梭织,2023-11-03,8.0
3000566,核心,梭织,2023-11-04,8.0
3000566,核心,梭织,2023-11-06,8.0
3000566,核心,梭织,2023-11-07,8.0
3000566,核心,梭织,2023-11-08,8.0
3000566,核心,梭织,2023-11-09,8.0
3000566,核心,梭织,2023-11-10,8.0
3000566,核心,梭织,2023-11-11,8.0
3000566,核心,梭织,2023-11-13,8.0
3000566,核心,梭织,2023-11-14,8.0
3000566,核心,梭织,2023-11-15,8.0
3000566,核心,梭织,2023-11-16,8.0
3000566,核心,梭织,2023-11-17,8.0
3000566,核心,梭织,2023-11-18,8.0
3000566,核心,梭织,2023-11-20,8.0
