machine_id,supplier_id,brand,channel,age_group,fabric_category,item_capacity_group,month,planned_capacity,available_capacity
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-07,0,0
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-08,0,0
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-09,0,0
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-10,0,0
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-11,4,7
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-12,13,19
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-01,8,12
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-02,8,12
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-03,8,12
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-04,8,12
1542110692377686018,3000040,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-05,0,0
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-07,0,0
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-08,0,0
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-09,0,0
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-10,0,0
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-11,34,51
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-12,36,54
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-01,27,40
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-02,39,59
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-03,36,54
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-04,19,29
58,3000040,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-05,2,4
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-07,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-08,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-09,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-10,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-11,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-12,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-01,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-02,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-03,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-04,0,0
91,3000040,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-05,0,0
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-07,0,0
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-08,0,0
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-09,0,0
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-10,0,0
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-11,27,41
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-12,41,62
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-01,14,21
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-02,13,20
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-03,0,0
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-04,0,0
149,3000040,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-05,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-07,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-08,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-09,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-10,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-11,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-12,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-01,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-02,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-03,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-04,0,0
9,3000615,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-05,0,0
57,3000615,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-07,0,0
57,3000615,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-08,0,0
57,3000615,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-09,0,0
57,3000615,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-10,0,0
